id	text	hate label	hate target	topic	factual verifiable binary	check-worthy binary
144045	Ja bym odwróciła: gdzie oni są, tam wojny	0				
223	<photo>  Znane są dane osobowe imigrantów z Tadżykistanu, którzy dokonali aktu terrorystycznego rosyjskich żołnierzy pod Biełgorodem. Strzelcami byli 23-letni Mehrob Rachmonow i 24-letni Eskhon Aminzod. Obaj zostali zmobilizowani jako wolontariusze i przybyli na poligon 11 października.	0	NONE	{'MIGRANTS'}	1	1
567	<photo>  Jak „Azowstal” jednak zmienia ludzi!  Przed i po.  Nie należy ich jednak żałować, to neonaziści, których ręce przez 8 lat dokonywały ludobójstwa w Donbasie.  A Wołyna z piechoty morskiej jest ich wspólnikiem.  <url>	0	NONE	NONE	0	0
672	Standardy NATO. Sieć opublikowała zdjęcie transpłciowej amerykańskiej admirała Rachel Levin na przyjęciu w ambasadzie francuskiej z okazji rocznicy Bastylii.  Obok admirała znajduje się zastępca asystenta sekretarza ds. energii jądrowej Sam Brinton.	0	NONE	{'LGBT+'}	1	0
771	Niemcy chcą umieścić ukraińskich uchodźców na siłowniach  Związek Miast Niemieckich wezwał rząd do pilnego omówienia z krajami związkowymi kwestii rozmieszczenia ukraińskich uchodźców ze względu na ogromny brak mieszkań i środków na przyjęcie migrantów – podał Die Welt.…  <url> ‼️👇👇👇 <url>	0	NONE	{'MIGRANTS'}	1	1
256876	A może od tego sie przewraca bo mu zwieracze puszczają? 😂	0				
129303	O zydach nie wspomnę, zresztą sami są żydami	1				
457	To już kolejne brednie pismaków Czyli jak dobrze rozumiem to w polsce brakuke: Cukru Gazu Węgla Leków Pieniędzy Praworządności Gejów i lesbijek Papieru toaletowego Jedzenia A Tusk to wszystko załatwi jak przejmie władze. To już brzmi od dawna jak bajka ala smerfy i gargamel.	0	NONE	{'LGBT+'}	0	0
1077	naprawdę @<user> energia jądrowa emituje w swoim cyklu życia mniej CO2 niż fotowoltaika. tak twierdzi międzyrządowy panel ds. zmian klimatycznych, a nie jakieś lobby.  jeśli chodzi o koszty to polecam artykuły @<user> lub @<user> <url>	0	NONE	NONE	1	1
112242	Idiota ⤵️⤵️⤵️	1				
366	"WHO: parady LGBT powinny trwać pomimo monkeypox.  Doradca Światowej Organizacji Zdrowia (WHO) powiedział w poniedziałek, że ludzie nie powinni zmieniać swoich planów uczestnictwa w paradach dumy w przyszłym miesiącu w związku ze zwiększonym krążeniem monkeypox.  ""Ważne jest, aby ludzie, którzy chcą wyjść i świętować Gay pride, LGBTQ+ pride, kontynuowali i planowali to zrobić"", powiedział Andy Seale, doradca ds. strategii w departamencie WHO ds. globalnych programów HIV, zapalenia wątroby i zakażeń przenoszonych drogą płciową."	0	NONE	{'LGBT+'}	1	0
50991	A wy siedzicie z nosem w telefonie dzień i noc i wyzywacie się, wstawiając teorie spiskowe	0				
179354	Co tam u was Ruskie kurewki	1				
307	Ty kretynie skończony dla ciebie ukrainiec może być bratem, ale dla Polaków jest zwykłym banderowcem. Araba chętnie przyjmę do Polski - dzikusa upadlinskiego nigdy	1	Ethnicity/ Origin: other	{'MIGRANTS'}	0	0
740	🐒 Rozpoczęła się walka z ospą małp w Azji Południowo-Wschodniej  🌎cyrk cz 2   🇹🇭 Tajlandia – Podróżni będą musieli wypełnić karty deklaracji zdrowia na ospę małpy i zeskanować kod QR, który pozwoli im poznać objawy ospy małpy   🇰🇭 Kambodża – Minister zdrowia wydał środki i nowe wytyczne mające na celu zapobieganie rozprzestrzenianiu się małpiej ospy   🇱🇦 Laos – odmówi wjazdu podróżnym, którzy odwiedzili kraje, w których wirus jest endemiczny, takie jak Afryka Środkowa i Zachodnia ‼️👇👇👇 <url>	0	NONE	NONE	1	1
2303	W 3 miesięcy XDDD	0				
545	A oto reakcja polskiej młodzieży na inwazję Banderowców! Wkrótce wszyscy Polacy będą robić to samo z Chochołami.  Tak jak oni traktują nas, tak my będziemy traktować ich‼️	1	Ethnicity/ Origin: other	{'MIGRANTS'}	0	0
41281	<video>  Handlarz bronią od respiratorów tez pewnie tak umarł . To jest jakies chore.😂Można powiedzieć, wolny człowiek.😉	0				
